               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10746,            0.054693,            0.052204,             0.29904,                   0,                   0,                   0,                   0,            0.084674,            0.056786,            0.048538,              0.2705,             0.00036,             0.00036,             0.09676
                   1,            0.073646,            0.058445,            0.046519,             0.25847,             0.70567,            0.076008,             0.03072,           0.0093308,             0.06175,            0.062139,            0.042485,             0.24699,          0.00072998,          0.00072998,             0.09343
                   2,             0.06196,            0.059668,            0.043934,             0.24245,             0.38696,              0.1547,             0.03098,           0.0072926,            0.053698,            0.050495,            0.039798,             0.23289,           0.0010999,           0.0010999,              0.0901
                   3,            0.059902,             0.04329,            0.041478,             0.22852,             0.74682,             0.17389,            0.097078,            0.026345,             0.05298,            0.036553,            0.038344,             0.21767,           0.0014697,           0.0014697,             0.08677
                   4,             0.05949,            0.041002,            0.041942,             0.21463,               0.756,             0.19167,             0.10814,            0.039435,            0.056822,            0.030447,            0.037888,             0.20666,           0.0018394,           0.0018394,            0.083439
                   5,            0.059804,            0.037353,            0.041119,             0.20573,             0.76872,             0.18943,             0.13251,            0.039274,            0.048586,            0.027933,            0.037254,             0.20024,           0.0022088,           0.0022088,            0.080109
                   6,            0.059356,            0.034402,            0.041516,             0.20048,             0.73704,             0.11182,            0.071636,            0.020493,            0.059606,            0.025842,            0.037339,             0.19721,            0.002578,            0.002578,            0.076778
                   7,            0.058699,            0.032901,             0.03987,             0.19838,            0.083398,             0.35715,             0.12914,            0.043022,            0.044277,            0.025576,            0.036885,             0.19484,           0.0029468,           0.0029468,            0.073447
                   8,             0.05645,            0.029415,            0.039131,             0.19611,             0.63657,             0.26511,              0.1349,             0.04005,            0.052277,            0.024976,            0.035817,             0.19124,           0.0033153,           0.0033153,            0.070115
                   9,            0.054601,            0.029615,            0.037109,             0.19521,             0.27696,             0.28566,             0.17025,            0.065322,            0.048843,            0.027456,            0.032894,              0.1916,           0.0036834,           0.0036834,            0.066783
                  10,            0.053675,            0.029999,            0.033717,             0.19455,             0.80747,             0.19352,             0.16415,            0.045846,            0.052404,            0.024509,            0.028995,             0.19117,           0.0040511,           0.0040511,            0.063451
